id,type,info_in_id,info_out_id,node_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
119,mutation,178,2126,65,1,2016-02-22 21:49:09.064007,f,,,,,,
120,mutation,177,2127,65,1,2016-02-22 21:49:09.078013,f,,,,,,
121,mutation,636,2131,66,1,2016-02-22 21:49:11.444201,f,,,,,,
122,mutation,635,2132,66,1,2016-02-22 21:49:11.464065,f,,,,,,
123,mutation,69,2191,67,1,2016-02-22 21:49:45.684285,f,,,,,,
124,mutation,70,2192,67,1,2016-02-22 21:49:45.700164,f,,,,,,
111,mutation,69,2004,61,1,2016-02-22 21:48:27.842555,t,2016-02-22 21:50:15.373323,,,,,
112,mutation,70,2005,61,1,2016-02-22 21:48:27.856882,t,2016-02-22 21:50:15.3733,,,,,
125,mutation,1475,2245,68,1,2016-02-22 21:50:18.106367,f,,,,,,
126,mutation,1476,2246,68,1,2016-02-22 21:50:18.123483,f,,,,,,
127,mutation,178,2247,69,1,2016-02-22 21:50:18.653922,f,,,,,,
128,mutation,177,2248,69,1,2016-02-22 21:50:18.668348,f,,,,,,
129,mutation,635,2256,70,1,2016-02-22 21:50:23.395411,f,,,,,,
130,mutation,636,2257,70,1,2016-02-22 21:50:23.416028,f,,,,,,
131,mutation,177,2266,71,1,2016-02-22 21:50:31.712801,f,,,,,,
132,mutation,178,2267,71,1,2016-02-22 21:50:31.726905,f,,,,,,
133,mutation,69,2269,72,1,2016-02-22 21:50:32.311689,f,,,,,,
134,mutation,70,2270,72,1,2016-02-22 21:50:32.327176,f,,,,,,
135,mutation,829,2276,73,1,2016-02-22 21:50:35.437793,f,,,,,,
136,mutation,828,2277,73,1,2016-02-22 21:50:35.454608,f,,,,,,
137,mutation,801,2313,74,1,2016-02-22 21:50:53.358578,f,,,,,,
138,mutation,802,2314,74,1,2016-02-22 21:50:53.372653,f,,,,,,
139,mutation,828,2337,75,1,2016-02-22 21:51:01.70218,f,,,,,,
140,mutation,829,2338,75,1,2016-02-22 21:51:01.717321,f,,,,,,
141,mutation,110,2350,76,1,2016-02-22 21:51:04.522852,f,,,,,,
142,mutation,111,2351,76,1,2016-02-22 21:51:04.538879,f,,,,,,
145,mutation,828,2572,78,1,2016-02-22 21:52:19.176153,f,,,,,,
146,mutation,829,2573,78,1,2016-02-22 21:52:19.191758,f,,,,,,
99,mutation,1523,1864,55,1,2016-02-22 21:47:04.314519,t,2016-02-22 21:52:41.745351,,,,,
100,mutation,1524,1865,55,1,2016-02-22 21:47:04.330117,t,2016-02-22 21:52:41.745326,,,,,
147,mutation,636,2772,79,1,2016-02-22 21:53:36.834505,f,,,,,,
148,mutation,635,2773,79,1,2016-02-22 21:53:36.851666,f,,,,,,
151,mutation,1523,2819,81,1,2016-02-22 21:54:05.618818,f,,,,,,
152,mutation,1524,2820,81,1,2016-02-22 21:54:05.633121,f,,,,,,
153,mutation,635,2857,82,1,2016-02-22 21:54:36.375817,f,,,,,,
154,mutation,636,2858,82,1,2016-02-22 21:54:36.392335,f,,,,,,
155,mutation,1833,2862,83,1,2016-02-22 21:54:41.215024,f,,,,,,
156,mutation,1834,2863,83,1,2016-02-22 21:54:41.230322,f,,,,,,
157,mutation,635,2901,84,1,2016-02-22 21:55:00.53843,f,,,,,,
158,mutation,636,2902,84,1,2016-02-22 21:55:00.553134,f,,,,,,
159,mutation,955,2903,85,1,2016-02-22 21:55:00.840489,f,,,,,,
160,mutation,956,2904,85,1,2016-02-22 21:55:00.857133,f,,,,,,
161,mutation,227,2957,86,1,2016-02-22 21:55:20.610807,f,,,,,,
162,mutation,226,2958,86,1,2016-02-22 21:55:20.626234,f,,,,,,
143,mutation,635,2468,77,1,2016-02-22 21:51:43.267512,t,2016-02-22 21:55:25.352973,,,,,
144,mutation,636,2469,77,1,2016-02-22 21:51:43.28622,t,2016-02-22 21:55:25.352996,,,,,
163,mutation,635,3012,87,1,2016-02-22 21:55:44.673765,f,,,,,,
164,mutation,636,3013,87,1,2016-02-22 21:55:44.688544,f,,,,,,
165,mutation,60,3089,88,1,2016-02-22 21:56:10.348202,f,,,,,,
166,mutation,61,3090,88,1,2016-02-22 21:56:10.365273,f,,,,,,
167,mutation,1624,3146,89,1,2016-02-22 21:56:31.391772,f,,,,,,
168,mutation,1623,3147,89,1,2016-02-22 21:56:31.4089,f,,,,,,
169,mutation,110,3164,90,1,2016-02-22 21:56:37.394316,f,,,,,,
170,mutation,111,3165,90,1,2016-02-22 21:56:37.409414,f,,,,,,
171,mutation,828,3360,91,1,2016-02-22 21:58:13.021332,f,,,,,,
172,mutation,829,3361,91,1,2016-02-22 21:58:13.036511,f,,,,,,
173,mutation,969,3396,92,1,2016-02-22 21:58:39.677451,f,,,,,,
174,mutation,970,3397,92,1,2016-02-22 21:58:39.694827,f,,,,,,
175,mutation,384,3418,93,1,2016-02-22 21:58:52.222752,f,,,,,,
176,mutation,385,3419,93,1,2016-02-22 21:58:52.23787,f,,,,,,
149,mutation,226,2816,80,1,2016-02-22 21:54:05.29555,t,2016-02-22 21:59:08.40203,,,,,
150,mutation,227,2818,80,1,2016-02-22 21:54:05.314996,t,2016-02-22 21:59:08.402052,,,,,
177,mutation,227,3454,94,1,2016-02-22 21:59:27.884862,f,,,,,,
178,mutation,226,3455,94,1,2016-02-22 21:59:27.905037,f,,,,,,
