id,assignment_id,creation_time,event_type
3206,3U4J9857OEBPWGW5UL0P8D8PXNDB7G,2016-02-24 00:21:57.95907,AssignmentSubmitted
3207,3HHRAGRYX85DTT97DN3VSTZUZCL9OV,2016-02-24 00:23:08.025122,AssignmentAccepted
3208,3EWIJTFFVO79L885JDH6U64NS6KE0J,2016-02-24 00:25:06.084302,AssignmentAccepted
3209,3F6KKYWMNB17EYMCOO8KZ0IF0NUDN0,2016-02-24 00:26:11.125914,AssignmentSubmitted
3210,3S4AW7T80BI4Q20YJ0RCJ4KKIF24LD,2016-02-24 00:26:39.438249,AssignmentAccepted
3211,30H4UDGLT2IALD42HWKFMFA49GOMPO,2016-02-24 00:27:05.175649,AssignmentSubmitted
3212,38BQUHLA9W0S0DS12W70XF5EZBSMO7,2016-02-24 00:27:06.230093,AssignmentSubmitted
3213,3AMW0RGHOD2G3VP2TXZFZUZ4E6YNPP,2016-02-24 00:27:24.105656,AssignmentAccepted
3214,3EWIJTFFVO79L885JDH6U64NS6KE0J,2016-02-24 00:28:44.060322,AssignmentSubmitted
3215,3I0BTBYZAXL7RDPWJET019W3AIQY0J,2016-02-24 00:32:04.849901,AssignmentAccepted
3216,3LYA37P8IQNDRV3PDFPYCIDB37FBKO,2016-02-24 00:32:05.255774,AssignmentAccepted
3217,3ZAK8W07I4EQA45R9DWBYOQQEUG0UO,2016-02-24 00:32:28.383745,AssignmentAccepted
3218,3AMW0RGHOD2G3VP2TXZFZUZ4E6YNPP,2016-02-24 00:32:43.987292,AssignmentSubmitted
3219,3BV8HQ2ZZW1196D85XV17OONKUA6AJ,2016-02-24 00:32:48.458886,AssignmentAccepted
3220,3LWJHTCVCCMPFFD0VMVRRUG5HBYQFC,2016-02-24 00:32:52.035419,AssignmentAccepted
3221,3S4AW7T80BI4Q20YJ0RCJ4KKIF24LD,2016-02-24 00:33:35.511263,AssignmentSubmitted
3222,3HHRAGRYX85DTT97DN3VSTZUZCL9OV,2016-02-24 00:33:36.727882,AssignmentSubmitted
3223,3LYA37P8IQNDRV3PDFPYCIDB37FBKO,2016-02-24 00:33:58.116341,AssignmentSubmitted
3224,3I0BTBYZAXL7RDPWJET019W3AIQY0J,2016-02-24 00:35:16.033865,AssignmentSubmitted
3225,3RANCT1ZVFHRUR817TT0I5M95YDBUL,2016-02-24 00:35:44.776806,AssignmentAccepted
3226,3YDTZAI2WXGR0VWUQQ9TZPB6K9Y418,2016-02-24 00:35:45.18491,AssignmentAccepted
