id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
61,bandit_agent,1,2016-02-22 21:48:27.782974,t,2016-02-22 21:50:15.339601,A13UWZNSBN9674:3KIBXJ1WD5UXAPSYHKUKI2DAA4OKON,,1,,,
57,bandit_agent,1,2016-02-22 21:47:36.892906,f,,A3P79MY5ZYQA41:3COPXFW7XBCFVP4ZWK7Z72I0K9JPK8,0.0625,1,,,
59,bandit_agent,1,2016-02-22 21:47:59.054436,f,,A1D0JL4MJ7XSGV:3O7L7BFSHEPKS3PLN36C0A4JEYSEI1,0.1024,1,,,
63,bandit_agent,1,2016-02-22 21:48:51.972586,f,,A1T0NOZQMC01LQ:3DY46V3X3PI8KW1D5IUF77U1WJO55I,1.0000000000000004e-12,1,,,
390,bandit_agent,1,2016-02-23 01:48:45.3517,f,,AYXPJX8TUJH0X:3PH3VY7DJLX04T0M87O4MBE9HG8ZWA,0.5041,8,,,
457,bandit_agent,1,2016-02-23 02:29:29.958287,t,2016-02-23 02:41:27.314884,A3BJTYGNU3K82A:3VELCLL3GKJ1YBTJA75CQT8X9Y71FR,,9,,,
397,bandit_agent,1,2016-02-23 01:52:17.104645,f,,ARL02LF79QANB:3VA45EW49NNV4O6C9AO2DNHB1ZW1OB,0.0324,8,,,
407,bandit_agent,1,2016-02-23 01:54:49.673179,f,,A19C6T7B0H4PAQ:3QY5DC2MXRKH78KHCVFW1VDUKV4FU4,0.1936,8,,,
403,bandit_agent,1,2016-02-23 01:53:24.014441,f,,A1F669OTXWIJW0:3H8DHMCCW9B66S19RBG4781B6RPKD0,0.36,8,,,
464,bandit_agent,1,2016-02-23 02:40:38.888705,f,,A2KDCANVN4H2EK:30BXRYBRP4XED80S2LIXM4A4LQTHW4,0.019600000000000003,9,,,
417,bandit_agent,1,2016-02-23 02:08:42.949232,f,,A2BI6LJSH72Z8F:39ZSFO5CA8WXCA6DVL6HGT5MD2LJUB,1.8496000000000004,9,,,
538,bandit_agent,1,2016-02-23 05:11:32.735947,f,,A2X6K5T4P6GXTY:3GNA64GUZE4XDIKBPAII5IPSSGR5QD,0.4900000000000001,11,,,
473,bandit_agent,1,2016-02-23 03:25:24.900554,f,,A10AIJ6HFRLG8F:3P529IW9KYLEOIXN3HNVA8HB74DLFI,0.004900000000000001,10,,,
432,bandit_agent,1,2016-02-23 02:16:13.519679,f,,A10ZXERA24IG75:3MH9DQ757WCNL8GCNFLEJGD6LA4UGI,0.16000000000000003,9,,,
430,bandit_agent,1,2016-02-23 02:15:26.923219,t,2016-02-23 02:20:12.623977,A3J5GUVGA6WQJG:3YZ8UPK3VTMA4W07LTPVTPSRNICUC8,0.0144,9,,,
535,bandit_agent,1,2016-02-23 05:10:41.602312,f,,A1CHHJ7D40O0IW:39GAF6DQWR0QU8F9AMAG8FBJXS01VK,1.0000000000000004e-12,11,,,
450,bandit_agent,1,2016-02-23 02:24:17.920026,f,,A2YX223SR957X7:3DIP6YHAPCSR3XD8EHULNLA5B3YE86,0.3249000000000001,9,,,
477,bandit_agent,1,2016-02-23 03:27:51.904085,f,,A3GTYBSV2FOX8G:33OOO72IVHLV4JLILOZLOT6P447TCI,0.12250000000000003,10,,,
548,bandit_agent,1,2016-02-23 05:17:14.017228,t,2016-02-23 05:30:37.078266,A1BS52YLDIGUD9:3WQQ9FUS6AUTWU1O4QSVMD4K86RB89,,11,,,
488,bandit_agent,1,2016-02-23 03:32:01.857747,f,,A3TBQTXO4TZQZS:3S06PH7KSR440RFNJ1AM2T5CXLT1DI,0.0529,10,,,
489,bandit_agent,1,2016-02-23 03:32:17.320483,f,,A3IV8AFLU0E94K:3HQUKB7LNFEWGI537MWXL10H62IHH6,0.2916,10,,,
494,bandit_agent,1,2016-02-23 03:34:36.911119,f,,A37QFQ51SWGB3L:3K772S5NP8BKW8E1HLOR0Y34EMQEHN,0.1296,10,,,
508,bandit_agent,1,2016-02-23 03:40:46.51223,f,,A3PKJ0CX86ZAWN:39ASUFLU6X7HIYEGMP6D3KRY2C9EXG,0.0324,10,,,
736,bandit_agent,1,2016-02-23 10:01:59.445903,f,,A3880C79GIH7BP:3XXU1SWE8MV6VVRT38FKYNEW7Q2A0Y,0.028900000000000006,15,,,
511,bandit_agent,1,2016-02-23 03:43:46.378498,f,,AX6JQ37WUHFSH:39LOEL67OS5OTZXBPXDP4U68KEB387,1.2100000000000002,10,,,
637,bandit_agent,1,2016-02-23 06:59:42.7442,t,2016-02-23 07:02:47.846949,A13FVM2C914A3H:3MX2NQ3YC9UHMFLNBODAZQLLPJI5XE,1.0000000000000004e-12,13,,,
523,bandit_agent,1,2016-02-23 05:03:51.401103,f,,A2FHMNPGXRU9SV:3OONKJ5DKCJWHMO4B7HRJZUKNBTOBN,0.3721,11,,,
564,bandit_agent,1,2016-02-23 05:42:32.197926,f,,A187TVQ98O0FN2:33L7PJKHCGYTSGV54CJGM7A6EDRT8H,0.07840000000000001,12,,,
561,bandit_agent,1,2016-02-23 05:41:40.967771,t,2016-02-23 05:50:15.388721,A3KLBST8556SVQ:3Q5C1WP23M19WE0U4VS34HHKK4015F,1.0000000000000004e-12,12,,,
740,bandit_agent,1,2016-02-23 10:07:44.691972,f,,A358I8JJMAASJH:3NC5L260MOMMU30KG93N2PL529UOFE,0.4624000000000001,15,,,
711,bandit_agent,1,2016-02-23 09:04:57.418652,f,,A2GY8FV96EVCZN:3NJM2BJS4W6XCRSB47Q1JJ5SF1XCP7,0.7569,15,,,
646,bandit_agent,1,2016-02-23 07:03:05.964151,f,,A255IWUJ8XJFRA:336KAV9KYQSENNSAY1XEKXPI7FKY2B,0.7744,13,,,
596,bandit_agent,1,2016-02-23 05:57:05.961802,f,,A1NH9NLE8FFVSW:3ZAZR5XV01IRQVUHRGO3AH76P0ZCZN,1.6384,12,,,
599,bandit_agent,1,2016-02-23 05:57:33.00623,f,,A268SWOS479FCX:308XBLVESI4ZEZGK3ZYVDUZPYYFRB1,0.010000000000000002,12,,,
598,bandit_agent,1,2016-02-23 05:57:25.482018,f,,A2CJY4787IR70K:31HQ4X3T3SANSN2991NUH70QWUCLS6,0.4900000000000001,12,,,
584,bandit_agent,1,2016-02-23 05:54:57.85608,t,2016-02-23 06:01:11.493797,A23YHQJADTCAZY:352YTHGROVD246H8SFCERCRD1X14HC,1.0000000000000004e-12,12,,,
647,bandit_agent,1,2016-02-23 07:03:24.3938,f,,A8FRI601N947R:3YT88D1N08Y8O0ZCYMASUZFZFEC3KX,0.25,13,,,
611,bandit_agent,1,2016-02-23 06:27:14.877477,f,,A3HTLXAPOBCVVO:36ZN444YTRY64U2AHH985MYXI1GOIZ,1.2100000000000002,12,,,
650,bandit_agent,1,2016-02-23 07:04:25.440131,f,,A1G2U62KJ13ZF0:3MHW492WW0DNQX1Y38TES7ZMV3ZMVH,0.27040000000000003,13,,,
613,bandit_agent,1,2016-02-23 06:47:06.337037,f,,A37AJI03M37NPJ:3PJ71Z61R42SX1267L5KGXMM60L91G,0.5184,13,,,
621,bandit_agent,1,2016-02-23 06:51:30.944572,f,,A2LOM78TNSAEJ6:3ZAZR5XV01IRQVUHRGO3AH76P00ZCB,0.17639999999999997,13,,,
709,bandit_agent,1,2016-02-23 09:02:42.191735,f,,A2KGL2FXIG2IQM:3HFNH7HEMHEVTF9V66199FGHIPBQGM,0.2116,15,,,
657,bandit_agent,1,2016-02-23 07:12:36.669182,f,,A2UUKFTD0VUX2S:3A9AA95ATWMCD6JWPX3T5DZINK8P59,0.1024,13,,,
674,bandit_agent,1,2016-02-23 07:41:10.89859,f,,A33KTU8KJ5CP2T:31QTRG6Q2TDAFUTG0Z8QGAXBIPDYPZ,0.2116,14,,,
689,bandit_agent,1,2016-02-23 08:04:25.29815,f,,A28LT6FH15V4XO:3JRJSWSMQHL5207220ZPW42UVHI3EF,0.34809999999999997,14,,,
697,bandit_agent,1,2016-02-23 08:24:16.579073,f,,A153FVJRRM27G7:3AAJC4I4FGSEY90N185PXLK1FKDJZD,2.25,14,,,
