id,type,info_in_id,info_out_id,node_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
3219,mutation,272255,278272,1615,1,2016-03-13 02:41:24.619071,f,,,,,,
3220,mutation,272254,278273,1615,1,2016-03-13 02:41:24.637903,f,,,,,,
3221,mutation,274695,278295,1616,1,2016-03-13 02:41:50.167457,f,,,,,,
3222,mutation,274694,278296,1616,1,2016-03-13 02:41:50.182491,f,,,,,,
3223,mutation,272413,278384,1617,1,2016-03-13 02:43:07.976878,f,,,,,,
3224,mutation,272412,278385,1617,1,2016-03-13 02:43:07.999949,f,,,,,,
3225,mutation,273447,278784,1618,1,2016-03-13 02:46:26.506265,f,,,,,,
3226,mutation,273445,278785,1618,1,2016-03-13 02:46:26.521301,f,,,,,,
3227,mutation,271471,278932,1619,1,2016-03-13 02:47:36.034386,f,,,,,,
3228,mutation,271470,278933,1619,1,2016-03-13 02:47:36.05517,f,,,,,,
3229,mutation,277589,279222,1620,1,2016-03-13 02:50:44.846801,f,,,,,,
3230,mutation,277590,279223,1620,1,2016-03-13 02:50:44.864402,f,,,,,,
3231,mutation,268934,279406,1621,1,2016-03-13 02:53:14.644795,f,,,,,,
3232,mutation,268935,279407,1621,1,2016-03-13 02:53:14.661531,f,,,,,,
3233,mutation,272412,279852,1622,1,2016-03-13 02:57:08.142133,f,,,,,,
3234,mutation,272413,279853,1622,1,2016-03-13 02:57:08.158224,f,,,,,,
3235,mutation,269117,280119,1623,1,2016-03-13 03:00:26.841046,t,2016-03-13 03:04:31.071683,,,,,
3236,mutation,269116,280120,1623,1,2016-03-13 03:00:26.857715,t,2016-03-13 03:04:31.071661,,,,,
3237,mutation,275269,280292,1624,1,2016-03-13 03:04:38.597989,f,,,,,,
3238,mutation,275268,280293,1624,1,2016-03-13 03:04:38.613684,f,,,,,,
3239,mutation,278006,280436,1625,1,2016-03-13 03:07:09.851587,f,,,,,,
3240,mutation,278007,280437,1625,1,2016-03-13 03:07:09.868941,f,,,,,,
3241,mutation,275730,280523,1626,1,2016-03-13 03:08:18.429689,f,,,,,,
3242,mutation,275731,280524,1626,1,2016-03-13 03:08:18.445168,f,,,,,,
3243,mutation,274694,280528,1627,1,2016-03-13 03:08:21.758969,f,,,,,,
3244,mutation,274695,280529,1627,1,2016-03-13 03:08:21.775623,f,,,,,,
3245,mutation,273780,280884,1628,1,2016-03-13 03:12:24.813361,f,,,,,,
3246,mutation,273779,280885,1628,1,2016-03-13 03:12:24.830015,f,,,,,,
3247,mutation,271872,281009,1629,1,2016-03-13 03:13:27.32916,f,,,,,,
3248,mutation,271873,281010,1629,1,2016-03-13 03:13:27.3459,f,,,,,,
3249,mutation,271984,281346,1630,1,2016-03-13 03:16:25.744543,f,,,,,,
3250,mutation,271983,281347,1630,1,2016-03-13 03:16:25.760403,f,,,,,,
3251,mutation,271619,281421,1631,1,2016-03-13 03:17:44.894889,f,,,,,,
3252,mutation,271618,281422,1631,1,2016-03-13 03:17:44.911406,f,,,,,,
3253,mutation,273092,281626,1632,1,2016-03-13 03:21:19.376133,f,,,,,,
3254,mutation,273093,281627,1632,1,2016-03-13 03:21:19.40035,f,,,,,,
3255,mutation,271983,281647,1633,1,2016-03-13 03:21:35.525098,t,2016-03-13 03:23:30.808459,,,,,
3256,mutation,271984,281649,1633,1,2016-03-13 03:21:35.540891,t,2016-03-13 03:23:30.808437,,,,,
3257,mutation,275407,281919,1634,1,2016-03-13 03:25:29.416613,f,,,,,,
3258,mutation,275409,281920,1634,1,2016-03-13 03:25:29.434393,f,,,,,,
3259,mutation,270209,281936,1635,1,2016-03-13 03:26:05.910014,f,,,,,,
3260,mutation,270208,281937,1635,1,2016-03-13 03:26:05.930012,f,,,,,,
3261,mutation,277589,282316,1636,1,2016-03-13 03:32:10.022158,f,,,,,,
3262,mutation,277590,282317,1636,1,2016-03-13 03:32:10.04002,f,,,,,,
3265,mutation,268934,282466,1638,1,2016-03-13 03:34:14.914055,f,,,,,,
3266,mutation,268935,282467,1638,1,2016-03-13 03:34:14.929825,f,,,,,,
3267,mutation,271470,283159,1639,1,2016-03-13 03:42:45.898638,f,,,,,,
3268,mutation,271471,283160,1639,1,2016-03-13 03:42:45.914153,f,,,,,,
3263,mutation,274694,282356,1637,1,2016-03-13 03:32:52.070913,t,2016-03-13 03:46:49.808288,,,,,
3264,mutation,274695,282357,1637,1,2016-03-13 03:32:52.087914,t,2016-03-13 03:46:49.808265,,,,,
3269,mutation,269189,283333,1640,1,2016-03-13 03:47:24.947153,f,,,,,,
3270,mutation,269190,283334,1640,1,2016-03-13 03:47:24.965297,f,,,,,,
3271,mutation,273181,283378,1641,1,2016-03-13 03:48:39.116284,f,,,,,,
3272,mutation,273180,283379,1641,1,2016-03-13 03:48:39.131568,f,,,,,,
3275,mutation,273092,283438,1643,1,2016-03-13 03:49:40.445647,f,,,,,,
3276,mutation,273093,283439,1643,1,2016-03-13 03:49:40.46055,f,,,,,,
3277,mutation,269284,283454,1644,1,2016-03-13 03:49:51.814577,f,,,,,,
3278,mutation,269285,283455,1644,1,2016-03-13 03:49:51.832825,f,,,,,,
3273,mutation,269189,283380,1642,1,2016-03-13 03:48:40.164749,t,2016-03-13 03:50:17.861263,,,,,
3274,mutation,269190,283381,1642,1,2016-03-13 03:48:40.17977,t,2016-03-13 03:50:17.86124,,,,,
3279,mutation,271470,283803,1645,1,2016-03-13 03:53:02.892323,f,,,,,,
3280,mutation,271471,283804,1645,1,2016-03-13 03:53:02.908759,f,,,,,,
3281,mutation,277589,284396,1646,1,2016-03-13 03:57:10.980651,f,,,,,,
3282,mutation,277590,284397,1646,1,2016-03-13 03:57:10.998906,f,,,,,,
3283,mutation,273254,284546,1647,1,2016-03-13 04:00:25.475871,f,,,,,,
3284,mutation,273255,284547,1647,1,2016-03-13 04:00:25.492235,f,,,,,,
3285,mutation,268935,284580,1648,1,2016-03-13 04:01:23.330685,f,,,,,,
3286,mutation,268934,284581,1648,1,2016-03-13 04:01:23.346575,f,,,,,,
3287,mutation,273254,284605,1649,1,2016-03-13 04:02:02.854361,f,,,,,,
3288,mutation,273255,284606,1649,1,2016-03-13 04:02:02.871411,f,,,,,,
3289,mutation,273779,284693,1650,1,2016-03-13 04:03:19.836883,f,,,,,,
3290,mutation,273780,284694,1650,1,2016-03-13 04:03:19.870477,f,,,,,,
3291,mutation,268934,285312,1651,1,2016-03-13 04:10:34.586034,t,2016-03-13 04:11:24.38446,,,,,
3292,mutation,268935,285313,1651,1,2016-03-13 04:10:34.60337,t,2016-03-13 04:11:24.384437,,,,,
3293,mutation,268935,285467,1652,1,2016-03-13 04:15:54.150026,f,,,,,,
3294,mutation,268934,285468,1652,1,2016-03-13 04:15:54.165621,f,,,,,,
3295,mutation,277589,285503,1653,1,2016-03-13 04:17:50.254589,f,,,,,,
3296,mutation,277590,285504,1653,1,2016-03-13 04:17:50.273167,f,,,,,,
3299,mutation,275407,285731,1655,1,2016-03-13 04:23:57.566682,f,,,,,,
3300,mutation,275409,285732,1655,1,2016-03-13 04:23:57.582288,f,,,,,,
3301,mutation,269116,285768,1656,1,2016-03-13 04:24:36.900681,f,,,,,,
3302,mutation,269117,285769,1656,1,2016-03-13 04:24:36.918999,f,,,,,,
3303,mutation,278006,285785,1657,1,2016-03-13 04:24:45.025913,f,,,,,,
3304,mutation,278007,285786,1657,1,2016-03-13 04:24:45.043796,f,,,,,,
3297,mutation,275911,285699,1654,1,2016-03-13 04:23:25.021032,t,2016-03-13 04:28:56.490726,,,,,
3298,mutation,275912,285700,1654,1,2016-03-13 04:23:25.036865,t,2016-03-13 04:28:56.490702,,,,,
3305,mutation,270900,286000,1658,1,2016-03-13 04:27:11.453844,t,2016-03-13 04:39:08.331129,,,,,
3306,mutation,270902,286002,1658,1,2016-03-13 04:27:11.469796,t,2016-03-13 04:39:08.331106,,,,,
3329,mutation,278932,288792,1670,1,2016-03-13 05:48:47.895396,t,2016-03-13 06:02:43.063055,,,,,
3330,mutation,278933,288793,1670,1,2016-03-13 05:48:47.910326,t,2016-03-13 06:02:43.063032,,,,,
3345,mutation,280523,289814,1678,1,2016-03-13 06:11:04.845285,f,,,,,,
3346,mutation,280524,289815,1678,1,2016-03-13 06:11:04.861005,f,,,,,,
3385,mutation,284693,294279,1698,1,2016-03-13 08:01:06.568876,f,,,,,,
3386,mutation,284694,294280,1698,1,2016-03-13 08:01:06.586993,f,,,,,,
