id,assignment_id,creation_time,event_type
3400,3IHR8NYAM71UHNFWBSKJ0LT4OLY4PZ,2016-03-13 03:11:02.555364,AssignmentSubmitted
3401,3TXMY6UCAEOIC3TQ4K5QJOV2LU2QCQ,2016-03-13 03:12:38.585848,AssignmentAccepted
3402,3Q5ZZ9ZEVOFR7EKF3G1IJR4SZ7T85O,2016-03-13 03:12:53.786131,AssignmentSubmitted
3403,3OXV7EAXLEQ1PLENWIGRKGAHFGD368,2016-03-13 03:15:21.224915,AssignmentSubmitted
3404,31HQ4X3T3SANSN2991NUH70QXR1LSQ,2016-03-13 03:15:46.733893,AssignmentAccepted
3405,3QRYMNZ7FYHEVNI9AE8Z440145FTNP,2016-03-13 03:17:05.10913,AssignmentAccepted
3406,30ZX6P7VF8VOSYXBC1WBAAAUV8X2J2,2016-03-13 03:17:32.733935,AssignmentSubmitted
3407,3FTF2T8WLRILY2I949U59NCG3AF9WV,2016-03-13 03:17:33.816206,AssignmentSubmitted
3408,3JV9LGBJWTES83WFRT95KALH4LCGOI,2016-03-13 03:19:44.715599,AssignmentAccepted
3409,3FQ5JJ512LOFS4SMG5U73DD5LSPNKE,2016-03-13 03:22:56.504348,AssignmentAccepted
3410,3PS7W85Z8Z2T6LEF94PUM35HZGZ9T7,2016-03-13 03:23:30.234286,AssignmentAccepted
3411,3PS7W85Z8Z2T6LEF94PUM35HZGZ9T7,2016-03-13 03:23:30.653602,AssignmentReturned
3412,3QRYMNZ7FYHEVNI9AE8Z440145FTNP,2016-03-13 03:24:03.670219,AssignmentSubmitted
3413,3ZWFC4W1UU7PRGS081KRWKQAETXFRS,2016-03-13 03:24:07.948437,AssignmentAccepted
3414,3ZWFC4W1UU7PRGS081KRWKQAETXFRS,2016-03-13 03:24:08.353576,AssignmentReturned
3415,3TXMY6UCAEOIC3TQ4K5QJOV2LU2QCQ,2016-03-13 03:24:52.426363,AssignmentSubmitted
3416,31HQ4X3T3SANSN2991NUH70QXR1LSQ,2016-03-13 03:24:53.589351,AssignmentSubmitted
3417,3DHE4R9OCWBE1W7A4VB8DXIE3GHG2D,2016-03-13 03:25:43.834388,AssignmentAccepted
3418,3ZV9H2YQQD7ZJ0TTN0TVIA9U3I7W33,2016-03-13 03:28:51.4786,AssignmentAccepted
3419,3Q5C1WP23M19WE0U4VS34HHKL1P513,2016-03-13 03:30:02.687647,AssignmentAccepted
3420,3JV9LGBJWTES83WFRT95KALH4LCGOI,2016-03-13 03:32:28.131835,AssignmentSubmitted
3421,3Z4GS9HPNVA2U4TFH4O93BMTFTL77I,2016-03-13 03:32:42.086864,AssignmentAccepted
3422,3S4AW7T80BI4Q20YJ0RCJ4KKJB04L4,2016-03-13 03:35:29.582612,AssignmentAccepted
3423,3TXMY6UCAEOIC3TQ4K5QJOV2LU4CQE,2016-03-13 03:37:12.858612,AssignmentAccepted
3424,3DHE4R9OCWBE1W7A4VB8DXIE3GHG2D,2016-03-13 03:37:54.754444,AssignmentSubmitted
