id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
58,bandit_agent,1,2016-03-10 18:10:51.850146,f,,APMEOBFFLFRLX:34S9DKFK73PAC9H3KKVYCLSGJ2FNYG,0.4900000000000001,1,,,
59,bandit_agent,1,2016-03-10 18:10:54.482877,f,,A4158R4Y06ZB4:3Y4W8Q93LZKKM3VLQFUB9HCSNHAVDW,0.016900000000000002,1,,,
61,bandit_agent,1,2016-03-10 18:11:08.59729,f,,A10DEO061A6L3O:3F6KKYWMNB17EYMCOO8KZ0IF1E9DNY,0.27040000000000003,1,,,
60,bandit_agent,1,2016-03-10 18:11:01.687577,f,,A1VCIMAAY6GUD3:3EA3QWIZ4IVMHM7IDYV7ZW4KI13TIH,0.0009,1,,,
54,bandit_agent,1,2016-03-10 18:10:40.285702,f,,A3QJJR5Y3XE92N:32ZKVD547FN7VXVIS9XZVWW9TC6B39,0.1369,1,,,
53,bandit_agent,1,2016-03-10 18:10:06.00869,f,,AKRFNRKI1IMJ1:3TR2532VIPUCAZGCZ38E0NR6B8HJ68,1.4884,1,,,
56,bandit_agent,1,2016-03-10 18:10:44.906602,f,,AQIHP9D5DG5J:30LB5CDZNCA7W3Z1F0VJFG55H38Z08,0.4624000000000001,1,,,
63,bandit_agent,1,2016-03-10 18:11:16.847121,f,,AOXM7IK32TST5:39GHHAVOMFRYVCCYGFFZ3P7SFHBJ4N,0.04000000000000001,1,,,
64,bandit_agent,1,2016-03-10 18:11:19.134921,f,,A127F80LLYOQ22:3STRJBFXOWRDNHX6D1GJCCJXA5STKS,0.04409999999999999,1,,,
398,bandit_agent,1,2016-03-11 00:38:34.833697,f,,A27J3NRVMIQOP3:3PDJHANYK5GGJTLMB35TOABRYGTH6H,0.2116,8,,,
338,bandit_agent,1,2016-03-10 23:42:07.36167,f,,A2FLHXD97VI8F4:3WQ3B2KGE8GBLUH355JG73HCVS31BI,0.0225,7,,,
326,bandit_agent,1,2016-03-10 23:37:14.323144,f,,AH3ER3EJXHRO2:3HWRJOOET529MHSHSF0Q4CA6OPTESF,0.3364,7,,,
290,bandit_agent,1,2016-03-10 22:54:24.052917,f,,A111MNQPYBOPD0:3LKC68YZ3A3O5PMF6YDN6D75Y4TWOE,0.016900000000000002,6,,,
276,bandit_agent,1,2016-03-10 22:50:18.287987,f,,A2ACPX0UBKYS1G:39JEC7537U1AHBP7QJZ0PBUA2H9CVO,0.07840000000000001,6,,,
