id,assignment_id,creation_time,event_type
2386,3N2BF7Y2VQUI8W6EYJCAD68DN3QMHN,2016-03-03 22:11:34.675867,AssignmentSubmitted
2387,3W8CV64QJ2Z31CNK9A858K2TN4J9HB,2016-03-03 22:12:38.961913,AssignmentSubmitted
2388,3U4J9857OEBPWGW5UL0P8D8PX1Q7BH,2016-03-03 22:13:49.239663,AssignmentAccepted
2389,3XUHV3NRVKYK0PL86KVOW4XR1815HH,2016-03-03 22:15:37.349767,AssignmentAccepted
2390,3U4J9857OEBPWGW5UL0P8D8PX1Q7BH,2016-03-03 22:16:23.549535,AssignmentSubmitted
2391,3H7Z272LX77QFVMHHKJ0M2VF9PAPLT,2016-03-03 22:16:24.427513,AssignmentSubmitted
2392,3RSDURM96AM6I34QRLSFMYY74XCEYP,2016-03-03 22:16:42.684436,AssignmentSubmitted
2393,3NC5L260MOMMU30KG93N2PL52OTOF7,2016-03-03 22:18:52.579191,AssignmentAccepted
2394,3XUHV3NRVKYK0PL86KVOW4XR1815HH,2016-03-03 22:19:11.840049,AssignmentSubmitted
2395,3ZDAD0O1T1DJ7HWDCKV826RZ516TXP,2016-03-03 22:20:29.856422,AssignmentAccepted
2396,3QAVNHZ3EM4JSRGFS113W76KA3ALA9,2016-03-03 22:20:51.965025,AssignmentAccepted
2397,3HFNH7HEMHEVTF9V66199FGHI49QGE,2016-03-03 22:21:45.467299,AssignmentAbandoned
2398,33L7PJKHCGYTSGV54CJGM7A6ESWT8G,2016-03-03 22:23:05.866747,AssignmentAccepted
2399,336YQZE83VE6S3MJXHB1O95NIU0M57,2016-03-03 22:23:16.062363,AssignmentAccepted
2400,3ZDAD0O1T1DJ7HWDCKV826RZ516TXP,2016-03-03 22:24:48.232317,AssignmentSubmitted
2401,336YQZE83VE6S3MJXHB1O95NIU0M57,2016-03-03 22:26:50.093728,AssignmentSubmitted
2402,3NC5L260MOMMU30KG93N2PL52OTOF7,2016-03-03 22:28:11.815899,AssignmentSubmitted
2403,33L7PJKHCGYTSGV54CJGM7A6ESWT8G,2016-03-03 22:28:41.220689,AssignmentSubmitted
2404,3R6P78PK7KB8LV1NNAV4EKR42B9TGW,2016-03-03 22:32:19.072924,AssignmentAccepted
2405,3QAVNHZ3EM4JSRGFS113W76KA3ALA9,2016-03-03 22:32:50.475874,AssignmentSubmitted
2406,3A1COHJ8NJV3N74A4I2R8O7I3Y2H8V,2016-03-03 22:33:48.171955,AssignmentAccepted
2407,3R6P78PK7KB8LV1NNAV4EKR42B9TGW,2016-03-03 22:37:37.546413,AssignmentSubmitted
2408,3A1COHJ8NJV3N74A4I2R8O7I3Y2H8V,2016-03-03 22:44:24.221245,AssignmentSubmitted
2409,3BWI6RSP7G9N3J8P4C2F9LEA0Y5E7Q,2016-03-03 22:54:41.98837,AssignmentAccepted
2410,3WJEQKOXA8262KCBZRJKCSX6CX71AL,2016-03-03 22:55:09.468483,AssignmentAccepted
2411,3WJEQKOXA8262KCBZRJKCSX6CX71AL,2016-03-03 22:57:09.66145,AssignmentSubmitted
2412,3BWI6RSP7G9N3J8P4C2F9LEA0Y5E7Q,2016-03-03 22:59:26.658758,AssignmentSubmitted
2413,3R08VXYT7CVHKJUGPCWLVRLA729W7N,2016-03-03 23:02:42.727421,AssignmentAccepted
2414,3DPNQGW4LLFM7HXRWWLAUL2NSYR46B,2016-03-03 23:04:20.151546,AssignmentAccepted
2415,3M68NM076H7T8NZP78HN2EDXKCB6RW,2016-03-03 23:05:13.505938,AssignmentAccepted
2416,3R08VXYT7CVHKJUGPCWLVRLA729W7N,2016-03-03 23:08:26.216796,AssignmentSubmitted
2417,3YGXWBAF70HBNY6S6NYDGLUXOK24C3,2016-03-03 23:08:44.884816,AssignmentAccepted
2418,3M68NM076H7T8NZP78HN2EDXKCB6RW,2016-03-03 23:10:32.018401,AssignmentSubmitted
2419,34PGFRQONOBA4EVIQLLIYHQJYX9WJU,2016-03-03 23:11:17.088791,AssignmentAccepted
2420,3DPNQGW4LLFM7HXRWWLAUL2NSYR46B,2016-03-03 23:11:33.26149,AssignmentSubmitted
2421,3FTYUGLFSUL3O9G6KOCY5JIT9GA5DA,2016-03-03 23:11:48.611797,AssignmentAccepted
2422,3DY4FPOOA1OENDEQ8GPVE6TW152RV8,2016-03-03 23:12:39.839492,AssignmentAccepted
2423,3DL65MZB8DFTF03LVTAQP76O19WCEH,2016-03-03 23:14:47.56736,AssignmentAccepted
2424,3FTYUGLFSUL3O9G6KOCY5JIT9GA5DA,2016-03-03 23:15:39.213885,AssignmentSubmitted
2425,3A9AA95ATWMCD6JWPX3T5DZINZD5PO,2016-03-03 23:17:15.760991,AssignmentAccepted
2426,3YGXWBAF70HBNY6S6NYDGLUXOK24C3,2016-03-03 23:19:41.498978,AssignmentSubmitted
2427,3A9AA95ATWMCD6JWPX3T5DZINZD5PO,2016-03-03 23:20:54.390435,AssignmentSubmitted
2428,3GDTJDAPVUBPFL5LVFI40TFEKK38MX,2016-03-03 23:21:20.244345,AssignmentAccepted
2429,3DL65MZB8DFTF03LVTAQP76O19WCEH,2016-03-03 23:21:52.894469,AssignmentSubmitted
2430,3WOKGM4L71GVXZLUDRK2ZIY1WM60OH,2016-03-03 23:23:03.941161,AssignmentAccepted
2431,3WOKGM4L71GVXZLUDRK2ZIY1WM60OH,2016-03-03 23:24:37.95832,AssignmentReturned
2432,34PGFRQONOBA4EVIQLLIYHQJYX9WJU,2016-03-03 23:25:44.690675,AssignmentSubmitted
2433,3LBXNTKX0RV0N2NZEEQRB6QNBU49X6,2016-03-03 23:26:14.244018,AssignmentAccepted
2434,3DY4FPOOA1OENDEQ8GPVE6TW152RV8,2016-03-03 23:27:26.059666,AssignmentSubmitted
2435,3PJ71Z61R42SX1267L5KGXMM6FQ91F,2016-03-03 23:27:52.864313,AssignmentAccepted
2436,3GDTJDAPVUBPFL5LVFI40TFEKK38MX,2016-03-03 23:28:24.96564,AssignmentSubmitted
2437,3LBXNTKX0RV0N2NZEEQRB6QNBU49X6,2016-03-03 23:28:45.105346,AssignmentSubmitted
2438,3L0KT67Y8EG7SM98SGCKBF2M5ONSY6,2016-03-03 23:29:12.865871,AssignmentAccepted
2439,3I33IC7ZWF2DR5U7IVJYHB7B43LA2B,2016-03-03 23:29:33.217071,AssignmentAccepted
