id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
184,2017-03-10 01:16:39.509798,,,,,,f,,question,61,2,difficulty,1
185,2017-03-10 01:16:39.562339,,,,,,f,,question,61,3,"",""
186,2017-03-10 01:17:50.063499,,,,,,f,,question,45,1,engagement,8
187,2017-03-10 01:17:50.135806,,,,,,f,,question,45,2,difficulty,4
188,2017-03-10 01:17:50.256228,,,,,,f,,question,45,3,"",""
189,2017-03-10 01:19:09.102387,,,,,,f,,question,54,1,engagement,9
190,2017-03-10 01:19:10.251102,,,,,,f,,question,54,2,difficulty,8
191,2017-03-10 01:19:17.578464,,,,,,f,,question,47,1,engagement,4
192,2017-03-10 01:19:17.886037,,,,,,f,,question,47,2,difficulty,7
193,2017-03-10 01:19:18.138119,,,,,,f,,question,47,3,"",""
194,2017-03-10 01:19:18.357066,,,,,,f,,question,47,4,"",""
195,2017-03-10 01:19:47.004654,,,,,,f,,question,71,1,engagement,10
196,2017-03-10 01:19:47.261907,,,,,,f,,question,71,2,difficulty,10
197,2017-03-10 01:19:47.535102,,,,,,f,,question,71,3,"",""
198,2017-03-10 01:19:47.847969,,,,,,f,,question,71,4,"",""
199,2017-03-10 01:20:07.018786,,,,,,f,,question,64,1,engagement,10
200,2017-03-10 01:20:07.661991,,,,,,f,,question,64,2,difficulty,9
201,2017-03-10 01:20:07.994401,,,,,,f,,question,64,3,"",""
202,2017-03-10 01:20:08.325083,,,,,,f,,question,64,4,"",""
203,2017-03-10 01:20:26.380426,,,,,,f,,question,69,1,engagement,10
204,2017-03-10 01:20:26.507811,,,,,,f,,question,69,2,difficulty,5
206,2017-03-10 01:20:26.917498,,,,,,f,,question,65,2,difficulty,8
210,2017-03-10 01:21:15.257781,,,,,,f,,question,53,2,difficulty,10
211,2017-03-10 01:21:15.377794,,,,,,f,,question,53,3,"",""
212,2017-03-10 01:21:15.515177,,,,,,f,,question,53,4,"",""
