id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,info_in_id,info_out_id,node_id,network_id
133,2017-03-10 01:18:11.486167,,,,,,f,,mutation,231,2476,72,1
134,2017-03-10 01:18:11.492103,,,,,,f,,mutation,230,2477,72,1
135,2017-03-10 01:18:14.384815,,,,,,f,,mutation,1424,2479,73,1
136,2017-03-10 01:18:14.390482,,,,,,f,,mutation,1425,2480,73,1
137,2017-03-10 01:18:19.935848,,,,,,f,,mutation,1597,2495,74,1
138,2017-03-10 01:18:19.941857,,,,,,f,,mutation,1598,2496,74,1
139,2017-03-10 01:18:55.509322,,,,,,f,,mutation,230,2582,75,1
140,2017-03-10 01:18:55.515641,,,,,,f,,mutation,231,2583,75,1
141,2017-03-10 01:18:59.039793,,,,,,f,,mutation,614,2596,76,1
142,2017-03-10 01:18:59.045511,,,,,,f,,mutation,615,2597,76,1
143,2017-03-10 01:19:19.295344,,,,,,f,,mutation,43,2658,77,1
144,2017-03-10 01:19:19.301264,,,,,,f,,mutation,44,2659,77,1
145,2017-03-10 01:19:33.178996,,,,,,f,,mutation,43,2704,78,1
146,2017-03-10 01:19:33.185299,,,,,,f,,mutation,44,2705,78,1
147,2017-03-10 01:19:45.64201,,,,,,f,,mutation,139,2740,79,1
148,2017-03-10 01:19:45.647803,,,,,,f,,mutation,140,2741,79,1
149,2017-03-10 01:19:59.028071,,,,,,f,,mutation,652,2784,80,1
150,2017-03-10 01:19:59.034214,,,,,,f,,mutation,651,2785,80,1
151,2017-03-10 01:20:33.059287,,,,,,f,,mutation,651,2885,81,1
152,2017-03-10 01:20:33.065419,,,,,,f,,mutation,652,2886,81,1
153,2017-03-10 01:20:40.313367,,,,,,f,,mutation,1377,2906,82,1
154,2017-03-10 01:20:40.319042,,,,,,f,,mutation,1378,2907,82,1
155,2017-03-10 01:22:34.984857,,,,,,f,,mutation,230,3167,83,1
156,2017-03-10 01:22:34.991009,,,,,,f,,mutation,231,3168,83,1
157,2017-03-10 01:23:31.1745,,,,,,f,,mutation,110,3226,84,1
158,2017-03-10 01:23:31.18039,,,,,,f,,mutation,111,3227,84,1
159,2017-03-10 01:24:22.247929,,,,,,f,,mutation,748,3278,85,1
160,2017-03-10 01:24:22.254106,,,,,,f,,mutation,747,3279,85,1
161,2017-03-10 01:30:54.12941,,,,,,f,,mutation,1377,3541,86,1
162,2017-03-10 01:30:54.135314,,,,,,f,,mutation,1378,3542,86,1
163,2017-03-10 01:32:14.242371,,,,,,f,,mutation,651,3557,87,1
164,2017-03-10 01:32:14.248374,,,,,,f,,mutation,652,3558,87,1
130,2017-03-10 01:17:39.238127,,,,,,t,2017-03-10 01:33:17.860764,mutation,7,2419,70,1
129,2017-03-10 01:17:39.23192,,,,,,t,2017-03-10 01:33:17.868598,mutation,6,2418,70,1
165,2017-03-10 01:37:19.070461,,,,,,f,,mutation,1598,3626,88,1
166,2017-03-10 01:37:19.076474,,,,,,f,,mutation,1597,3627,88,1
167,2017-03-10 01:46:27.000572,,,,,,f,,mutation,3226,3668,89,1
168,2017-03-10 01:46:27.006576,,,,,,f,,mutation,3227,3669,89,1
169,2017-03-10 01:48:02.720467,,,,,,f,,mutation,1876,3684,90,1
170,2017-03-10 01:48:02.726778,,,,,,f,,mutation,1877,3685,90,1
171,2017-03-10 01:48:19.718457,,,,,,f,,mutation,2784,3692,91,1
172,2017-03-10 01:48:19.724478,,,,,,f,,mutation,2785,3693,91,1
173,2017-03-10 01:48:25.770551,,,,,,f,,mutation,1969,3700,92,1
174,2017-03-10 01:48:25.776432,,,,,,f,,mutation,1970,3701,92,1
175,2017-03-10 01:49:05.632244,,,,,,f,,mutation,3626,3733,93,1
176,2017-03-10 01:49:05.638258,,,,,,f,,mutation,3627,3734,93,1
177,2017-03-10 01:49:14.159319,,,,,,f,,mutation,2704,3741,94,1
178,2017-03-10 01:49:14.175025,,,,,,f,,mutation,2705,3742,94,1
179,2017-03-10 01:51:26.469489,,,,,,f,,mutation,1737,3874,95,1
180,2017-03-10 01:51:26.475818,,,,,,f,,mutation,1736,3875,95,1
181,2017-03-10 01:51:55.880803,,,,,,f,,mutation,2885,3882,96,1
182,2017-03-10 01:51:55.886806,,,,,,f,,mutation,2886,3883,96,1
183,2017-03-10 01:52:01.029212,,,,,,f,,mutation,2885,3885,97,1
184,2017-03-10 01:52:01.035305,,,,,,f,,mutation,2886,3886,97,1
185,2017-03-10 01:52:08.300305,,,,,,f,,mutation,2407,3888,98,1
186,2017-03-10 01:52:08.306519,,,,,,f,,mutation,2408,3889,98,1
187,2017-03-10 01:52:08.400248,,,,,,f,,mutation,2596,3890,99,1
188,2017-03-10 01:52:08.410304,,,,,,f,,mutation,2597,3891,99,1
189,2017-03-10 01:52:39.00821,,,,,,f,,mutation,3626,3915,100,1
190,2017-03-10 01:52:39.014438,,,,,,f,,mutation,3627,3916,100,1
191,2017-03-10 01:52:46.562625,,,,,,f,,mutation,3168,3921,101,1
192,2017-03-10 01:52:46.56823,,,,,,f,,mutation,3167,3922,101,1
193,2017-03-10 01:52:53.306977,,,,,,f,,mutation,2704,3930,102,1
194,2017-03-10 01:52:53.312771,,,,,,f,,mutation,2705,3931,102,1
195,2017-03-10 01:54:02.29867,,,,,,f,,mutation,2596,4034,103,1
196,2017-03-10 01:54:02.30481,,,,,,f,,mutation,2597,4035,103,1
197,2017-03-10 01:55:03.193622,,,,,,f,,mutation,2705,4147,104,1
198,2017-03-10 01:55:03.199911,,,,,,f,,mutation,2704,4148,104,1
199,2017-03-10 01:55:47.039621,,,,,,f,,mutation,2236,4231,105,1
200,2017-03-10 01:55:47.045701,,,,,,f,,mutation,2237,4232,105,1
201,2017-03-10 01:55:47.376925,,,,,,f,,mutation,2395,4233,106,1
202,2017-03-10 01:55:47.382811,,,,,,f,,mutation,2394,4234,106,1
203,2017-03-10 01:56:20.735317,,,,,,f,,mutation,2886,4272,107,1
204,2017-03-10 01:56:20.741504,,,,,,f,,mutation,2885,4273,107,1
205,2017-03-10 01:56:54.02396,,,,,,f,,mutation,2886,4304,108,1
206,2017-03-10 01:56:54.030138,,,,,,f,,mutation,2885,4305,108,1
211,2017-03-10 01:58:10.464712,,,,,,f,,mutation,3627,4417,111,1
212,2017-03-10 01:58:10.470938,,,,,,f,,mutation,3626,4418,111,1
