id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
129,2017-03-10 01:13:17.488275,,,,,,f,,32AT8R96GL9QBDP3IFFV8UW9MIMSUV,AssignmentAccepted
130,2017-03-10 01:13:19.448737,,,,,,f,,386PBUZZXFXUTKJJM7EGP693D8GJLC,AssignmentAccepted
131,2017-03-10 01:13:21.249556,,,,,,f,,3X0H8UUIT1O33HE8DFUWQIH67YXSWU,AssignmentAccepted
132,2017-03-10 01:13:24.307683,,,,,,f,,3NLZY2D53PPBF7NWHXYPM7LPR38LQ5,AssignmentAccepted
133,2017-03-10 01:13:36.791871,,,,,,f,,3NVC2EB65QZ385OT21BJ37UAQQYY37,AssignmentAccepted
134,2017-03-10 01:13:56.057682,,,,,,f,,33IZTU6J811ISHJYNKQIS1VDG03SXN,AssignmentAccepted
135,2017-03-10 01:14:20.636089,,,,,,f,,3CPLWGV3MOZVB89VC83ID4ZPMY4N9N,AssignmentSubmitted
136,2017-03-10 01:14:31.63674,,,,,,f,,36V4Q8R5ZK0VLP5HH9Z4MK0ER8YQMC,AssignmentAccepted
137,2017-03-10 01:14:33.525726,,,,,,f,,3DOCMVPBTNEG0ADPDIMNV5U9RNLNNM,AssignmentReturned
138,2017-03-10 01:14:54.808366,,,,,,f,,3WSELTNVR327B4OK1A3UIYG1HY8TA9,AssignmentAccepted
139,2017-03-10 01:15:40.431026,,,,,,f,,3KOPY89HM82DDGTUG1AGTKFMDMPJ3Y,AssignmentSubmitted
140,2017-03-10 01:15:48.674737,,,,,,f,,3F6HPJW4JD0AYIXAJ0FQZ04294YW2V,AssignmentAccepted
141,2017-03-10 01:15:49.360093,,,,,,f,,3QBD8R3Z21JCWN3VWS74BLOEQGVO47,AssignmentAccepted
142,2017-03-10 01:16:21.650709,,,,,,f,,3BEFOD78W6TOWKIJJCSRJHZ9VGGM4Q,AssignmentAccepted
143,2017-03-10 01:16:25.454574,,,,,,f,,3KYQYYSHYV7PWJMOP38XEPIK3TOODK,AssignmentAccepted
144,2017-03-10 01:16:31.823611,,,,,,f,,326O153BMIY3KS9ZVP519DO6ZRIED6,AssignmentSubmitted
145,2017-03-10 01:16:33.365439,,,,,,f,,3J2UYBXQQLC58TFQDVY8IICAO4L60K,AssignmentSubmitted
146,2017-03-10 01:16:34.561201,,,,,,f,,3LPW2N6LKT2P5BRS6J2NFJMH8YE5U6,AssignmentSubmitted
147,2017-03-10 01:16:35.711222,,,,,,f,,3QECW5O0KH1A5YC36ECDAN0FPK75TF,AssignmentSubmitted
148,2017-03-10 01:16:37.018561,,,,,,f,,3X0H8UUIT1O33HE8DFUWQIH67YXSWU,AssignmentSubmitted
149,2017-03-10 01:16:38.137489,,,,,,f,,3PB5A5BD0V6LNX4GA7S39OZMQWUG7W,AssignmentSubmitted
